slug,g:name_en,g:name_he,p:name_en,p:name_he,name_en,name_he
human_services,Human Services,מענים חברתיים
human_services:food,Human Services,מענים חברתיים,Food,מזון
human_services:food:community_gardens,Human Services,מענים חברתיים,Food,מזון,Community Gardens,גינות קהילתיות 
human_services:food:emergency_food,Human Services,מענים חברתיים,Food,מזון,Emergency Food,מזון בחירום
human_services:food:food_delivery,Human Services,מענים חברתיים,Food,מזון,Food Delivery,משלוחי מזון
human_services:food:food_pantry,Human Services,מענים חברתיים,Food,מזון,Food Pantry,מחסני מזון
human_services:food:help_pay_for_food,Human Services,מענים חברתיים,Food,מזון,Help Pay for Food,סיוע כספי לרכישת מזון
human_services:food:help_pay_for_food:government_food_benefits,Food,מזון,Help Pay for Food,סיוע כספי לרכישת מזון,Government Food Benefits,הטבות ממשלתיות לקניית מזון
human_services:food:nutrition_education,Human Services,מענים חברתיים,Food,מזון,Nutrition Education,חינוך תזונתי 
human_services:food:free_meals,Human Services,מענים חברתיים,Food,מזון,Free Meals,ארוחות חינם 
human_services:food:nutrition,Human Services,מענים חברתיים,Food,מזון,Nutrition,תזונה
human_services:housing,Human Services,מענים חברתיים,Housing,דיור
human_services:housing:temporary_shelter,Human Services,מענים חברתיים,Housing,דיור,Temporary Shelter,מקלט זמני
human_services:housing:temporary_shelter:weather_relief,Housing,דיור,Temporary Shelter,מקלט זמני,Weather Relief,עזרה באסון מזג אוויר
human_services:housing:help_find_housing,Human Services,מענים חברתיים,Housing,דיור,Help Find Housing,עזרה במציאת דיור
human_services:housing:help_pay_for_housing,Human Services,מענים חברתיים,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור
human_services:housing:help_pay_for_housing:help_pay_for_utilities,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Utilities,עזרה בתשלומי חשבונות שוטפים
human_services:housing:help_pay_for_housing:help_pay_for_internet_or_phone,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Help Pay for Internet or Phone,עזרה בתשלומים לאינטרנט או טלפון 
human_services:housing:help_pay_for_housing:home_renters_insurance,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Home & Renters Insurance,ביטוח דירה
human_services:housing:help_pay_for_housing:housing_vouchers,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Housing Vouchers,שוברים לדיור
human_services:housing:help_pay_for_housing:maintenance_repairs,Housing,דיור,Help Pay for Housing,עזרה בתשלום על דיור,Maintenance & Repairs,תחזוקה ותיקונים
human_services:housing:maintenance_repairs,Human Services,מענים חברתיים,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים
human_services:housing:maintenance_repairs:efficiency_upgrades,Housing,דיור,Maintenance & Repairs,תחזוקה ותיקונים,Efficiency Upgrades,שדרוגים ליעילות 
